  ,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
Product1,8.8,8.8,8.8,8.8,8.8,8.9,8.9,8.9,8.8375,8.8375,8.8375,8.8375,8.8375,8.8375,8.8375,8.8375
Product2,28.58,28.63,28.56,28.56,27.68,27.68,27.68,27.68,28.13125,28.13125,28.13125,28.13125,28.13125,28.13125,28.13125,28.13125
Product3,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.950000000000001,9.950000000000001,9.950000000000001,9.950000000000001,9.950000000000001,9.950000000000001,9.950000000000001,9.950000000000001
Product4,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99
Product5,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99
Product6,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49,79.49
Product7,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
Product8,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Product9,30.6,30.6,34.0,34.0,34.0,34.0,34.0,34.0,33.15,33.15,33.15,33.15,33.15,33.15,33.15,33.15
Product10,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
Product11,21.59,23.99,23.99,33.99,33.99,33.99,33.99,33.99,29.940000000000005,29.940000000000005,29.940000000000005,29.940000000000005,29.940000000000005,29.940000000000005,29.940000000000005,29.940000000000005
Product12,26.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.615000000000002,29.615000000000002,29.615000000000002,29.615000000000002,29.615000000000002,29.615000000000002,29.615000000000002,29.615000000000002
Product13,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Product14,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996
Product15,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98
Product16,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002
Product17,9.97,9.97,9.97,9.97,17.98,19.06,19.06,19.06,14.38,14.38,14.38,14.38,14.38,14.38,14.38,14.38
Product18,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998,14.989999999999998
Product19,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
Product20,169.99,169.99,144.48,169.99,169.99,169.99,169.99,169.99,166.80125,166.80125,166.80125,166.80125,166.80125,166.80125,166.80125,166.80125
Product21,159.95,159.95,249.95,199.95,199.95,199.95,199.95,199.95,196.20000000000002,196.20000000000002,196.20000000000002,196.20000000000002,196.20000000000002,196.20000000000002,196.20000000000002,196.20000000000002
Product22,199.99,199.99,199.99,199.99,169.99,169.99,169.99,169.99,184.99,184.99,184.99,184.99,184.99,184.99,184.99,184.99
Product23,22.49,34.99,34.99,22.49,22.49,22.49,22.49,22.49,25.615000000000002,25.615000000000002,25.615000000000002,25.615000000000002,25.615000000000002,25.615000000000002,25.615000000000002,25.615000000000002
Product24,31.49,39.99,39.99,34.99,34.99,34.99,34.99,34.99,35.8025,35.8025,35.8025,35.8025,35.8025,35.8025,35.8025,35.8025
Product25,49.96,57.0,57.0,57.0,49.96,49.96,49.96,49.96,52.599999999999994,52.599999999999994,52.599999999999994,52.599999999999994,52.599999999999994,52.599999999999994,52.599999999999994,52.599999999999994
Product26,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
Product27,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0,599.0
Product28,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Product29,19.82,24.99,24.99,19.82,19.82,19.82,19.82,19.82,21.112499999999997,21.112499999999997,21.112499999999997,21.112499999999997,21.112499999999997,21.112499999999997,21.112499999999997,21.112499999999997
Product30,24.17,24.99,24.99,24.99,24.17,24.99,24.99,24.99,24.785,24.785,24.785,24.785,24.785,24.785,24.785,24.785
Product31,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003,12.930000000000003
Product32,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002,24.990000000000002
Product33,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97
Product34,9.29,8.79,7.9,7.9,8.96,8.94,8.94,8.94,8.7075,8.7075,8.7075,8.7075,8.7075,8.7075,8.7075,8.7075
Product35,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97
Product36,79.99,129.99,129.99,85.99,85.99,85.99,85.99,85.99,96.24000000000001,96.24000000000001,96.24000000000001,96.24000000000001,96.24000000000001,96.24000000000001,96.24000000000001,96.24000000000001
Product37,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.980000000000002,8.980000000000002,8.980000000000002,8.980000000000002,8.980000000000002,8.980000000000002,8.980000000000002,8.980000000000002
Product38,69.97,79.97,79.97,69.97,69.97,69.97,69.97,69.97,72.47000000000001,72.47000000000001,72.47000000000001,72.47000000000001,72.47000000000001,72.47000000000001,72.47000000000001,72.47000000000001
Product39,5.99,6.89,6.97,6.97,6.97,6.97,6.97,6.97,6.8374999999999995,6.8374999999999995,6.8374999999999995,6.8374999999999995,6.8374999999999995,6.8374999999999995,6.8374999999999995,6.8374999999999995
Product40,99.59,123.59,123.59,123.59,99.59,99.59,99.59,99.59,108.59000000000002,108.59000000000002,108.59000000000002,108.59000000000002,108.59000000000002,108.59000000000002,108.59000000000002,108.59000000000002
Product41,32.99,31.11,28.65,22.41,22.41,22.41,28.16,28.16,27.037499999999998,27.037499999999998,27.037499999999998,27.037499999999998,27.037499999999998,27.037499999999998,27.037499999999998,27.037499999999998
Product42,35.95,39.95,44.95,39.95,39.95,39.95,39.95,39.95,40.074999999999996,40.074999999999996,40.074999999999996,40.074999999999996,40.074999999999996,40.074999999999996,40.074999999999996,40.074999999999996
