,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
Product1,9.80,9.80,8.80,9.80,9.80,9.80,9.80,9.80,9.74,9.74,7.90,9.74,9.60,9.77,9.80,9.80
Product2,28.53,28.53,28.55,28.58,27.68,27.68,28.27,28.27,51.52,51.56,49.23,53.39,57.31,60.16,52.38,49.44
Product3,9.95,6.96,6.96,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95,9.95
Product4,68.39,68.38,68.38,68.38,68.38,89.99,89.99,89.99,68.38,68.38,68.38,68.38,68.38,68.38,68.38,68.38
Product5,18.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,16.99,18.99,18.99,18.99,18.99,16.99,16.99
Product6,79.49,47.49,47.49,79.49,79.49,79.49,79.49,79.49,46.99,46.99,46.99,46.99,46.99,46.99,46.99,55.99
Product7,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99,84.99
Product8,16.00,12.80,12.80,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,11.20,11.20,11.20,11.20,23.95
Product9,30.60,27.20,27.20,34.00,34.00,34.00,34.00,34.00,27.20,27.20,27.20,27.20,27.20,27.20,27.20,34.00
Product10,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,14.39,14.39,14.39,14.39,14.39,14.39,14.39,17.99
Product11,21.59,33.99,23.99,33.99,33.99,33.99,33.99,33.99,21.24,21.24,21.24,21.24,21.24,21.24,21.24,21.24
Product12,26.99,23.99,23.99,29.99,29.99,29.99,29.99,29.99,23.99,23.99,23.99,23.99,23.99,23.99,21.00,29.99
Product13,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,23.97,23.97
Product14,35.05,31.16,31.16,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95,38.95
Product15,199.98,199.98,199.98,199.98,199.98,199.98,199.98,199.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98,189.98
Product16,24.99,19.99,19.99,24.99,24.99,24.99,24.99,24.99,19.99,19.99,19.99,19.99,19.99,19.99,16.99,19.99
Product17,9.97,9.97,9.97,9.97,17.98,19.06,19.06,19.06,9.97,9.97,9.97,9.97,9.97,9.97,9.97,9.97
Product18,14.99,11.99,11.99,14.99,14.99,14.99,14.99,14.99,11.99,11.99,11.99,11.99,11.99,11.99,11.99,14.99
Product19,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
Product20,169.99,144.49,144.48,169.99,169.99,169.99,169.99,169.99,144.44,144.44,144.44,144.44,144.44,144.44,144.44,169.99
Product21,159.95,159.95,149.95,199.95,199.95,199.95,199.95,199.95,149.95,149.95,149.95,149.95,149.95,149.95,149.95,199.95
Product22,199.99,139.99,139.99,199.99,169.99,169.99,169.99,169.99,109.99,169.99,149.99,99.99,99.99,99.99,99.99,169.99
Product23,22.49,16.02,16.02,22.49,22.49,22.49,22.49,22.49,19.97,42.35,42.35,39.99,42.35,42.35,45.99,15.00
Product24,31.49,24.49,24.49,34.99,34.99,34.99,34.99,34.99,34.99,34.99,23.39,23.39,23.39,23.39,23.39,34.99
Product25,49.96,49.96,49.96,49.96,49.96,49.96,49.96,49.96,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00
Product26,17.99,14.38,14.38,17.99,17.99,17.99,17.99,17.99,14.36,14.36,14.36,14.36,14.36,14.24,14.24,17.99
Product27,599.00,499.99,499.99,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00,599.00
Product28,30.00,21.00,21.00,30.00,30.00,30.00,30.00,30.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,30.00
Product29,19.82,14.24,14.24,19.82,19.82,19.82,19.82,19.82,9.49,9.49,9.49,9.49,9.49,9.49,9.49,21.68
Product30,23.74,17.49,17.49,24.99,24.17,24.99,24.99,24.99,16.24,16.24,16.24,16.24,16.24,16.24,16.24,23.99
Product31,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.93,12.96,12.97,12.97,12.97,12.97,9.74,9.74,12.97
Product32,24.99,19.99,19.99,24.99,24.99,24.99,24.99,24.99,19.59,19.59,19.59,19.59,19.59,19.59,19.59,24.99
Product33,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,29.97,45.89,19.99
Product34,9.29,8.79,8.83,8.97,8.96,8.94,8.94,8.94,9.14,9.24,9.11,8.90,8.90,9.09,9.11,9.11
Product35,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,34.97,30.86,29.00,29.97,29.97,29.97,29.97,34.97
Product36,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,63.99,75.99
Product37,8.53,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,8.98,11.29,11.29,11.29
Product38,69.97,48.97,48.97,69.97,69.97,69.97,69.97,69.97,48.97,48.97,48.97,48.97,48.97,48.97,48.97,69.97
Product39,5.99,6.98,6.97,6.97,6.97,6.97,6.97,6.97,6.83,6.83,7.99,6.83,6.83,6.83,6.83,6.83
Product40,99.59,81.99,81.99,99.59,99.59,99.59,99.59,99.59,81.49,81.49,81.49,81.49,81.49,81.49,81.49,81.49
Product41,32.99,31.11,22.86,22.41,22.41,22.41,22.41,22.41,32.09,32.09,32.09,32.09,32.09,32.09,32.10,32.10
Product42,39.95,39.95,35.95,39.95,39.95,39.95,39.95,39.95,31.96,31.96,31.96,31.96,31.96,29.99,31.96,39.95