 ,10/7,10/8,10/9,10/10,10/11,10/12,10/13,10/14,11/26,11/27,11/28,11/29,11/30,12/1,12/2,12/3
Product1,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.99
Product2,44.99,44.99,44.99,44.99,44.99,44.99,44.99,44.99,56.98,56.98,59.98,59.98,59.98,59.98,59.98,59.98
Product3,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,6.99,9.99,6.99,6.99,6.99,6.99,6.99,7.99
Product4,39.99,31.45,30.33,30.06,31.45,35.49,39.99,42.99,33.96,33.96,32.04,31.45,33.46,33.46,33.14,39.99
Product5,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99,20.99
Product6,63.99,47.16,45.86,44.63,47.16,47.16,63.99,63.99,46.72,47.16,45.86,45.03,46.72,48.29,48.29,48.78
Product7,59.50,59.50,59.50,59.50,59.50,59.50,59.50,59.50,119.00,119.00,119.00,119.00,119.00,119.00,119.00,119.00
Product8,16.00,16.00,16.00,16.00,16.00,16.00,16.00,16.00,12.80,12.80,12.80,12.80,12.80,12.80,12.80,12.80
Product9,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,23.80,23.80,23.80,23.80,23.80,34.00
Product10,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99
Product11,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Product12,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00
Product13,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,19.20,19.20,19.20,19.20,19.20
Product14,24.95,21.25,20.87,20.87,21.25,24.95,24.95,24.95,22.95,22.95,23.76,22.00,22.42,23.19,23.19,23.65
Product15,188.88,229.00,229.00,229.00,229.00,188.88,188.88,188.88,181.62,179.89,174.89,171.71,184.28,170.47,184.28,184.28
Product16,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99,35.99
Product17,9.99,7.76,7.61,7.47,7.92,9.99,9.99,9.99,7.98,7.54,7.34,7.34,7.72,7.72,7.72,7.92
Product18,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99,14.99
Product19,12.10,12.10,12.10,12.10,12.10,12.10,12.10,12.10,12.10,12.10,12.10,12.10,12.10,12.10,12.10,12.10
Product20,169.99,154.99,154.99,154.99,154.99,154.99,154.99,154.99,159.99,159.99,169.99,169.99,169.99,169.99,169.99,169.99
Product21,199.95,199.95,199.95,199.95,199.95,199.95,219.95,219.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95,169.95
Product22,99.98,94.33,91.73,89.27,94.33,99.99,99.99,99.99,99.97,99.97,94.33,94.33,99.98,99.98,99.98,99.49
Product23,34.99,34.99,34.99,34.99,34.99,34.99,34.99,34.99,29.00,29.00,26.64,26.64,26.64,26.64,26.64,27.99
Product24,30.99,27.77,27.27,27.27,27.77,30.99,34.99,34.99,23.07,23.07,21.62,21.62,22.96,22.96,22.96,33.81
Product25,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,59.99,49.96,49.96,49.96,49.96,49.96,49.96,59.98
Product26,17.10,19.00,19.00,19.00,19.00,19.00,19.00,17.10,17.09,17.09,16.15,14.25,14.25,14.25,15.20,17.10
Product27,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99,599.99
Product28,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00
Product29,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.98,24.98,24.98,24.98,24.98,24.98,24.98,24.99
Product30,24.99,24.99,24.99,24.99,24.99,24.99,24.99,24.99,16.24,16.24,16.24,16.24,16.24,16.24,16.24,24.99
Product31,13.59,13.59,13.59,13.59,13.59,13.59,13.59,13.59,12.23,12.23,12.23,12.23,12.23,12.23,12.23,13.59
Product32,24.99,14.15,13.59,13.39,14.15,14.15,14.15,14.15,14.73,14.73,14.73,14.73,14.73,14.73,24.99,24.99
Product33,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00
Product34,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.24,4.24,4.24,4.24,4.24,4.99
Product35,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99,39.99
Product36,69.99,73.99,73.99,73.99,73.99,69.99,66.98,66.98,73.93,73.98,73.99,73.99,73.99,73.99,73.99,73.99
Product37,10.00,22.50,22.50,22.50,10.00,10.00,10.00,10.00,25.00,25.00,10.00,10.00,10.00,10.00,10.00,25.00
Product38,39.97,38.82,38.08,37.37,39.59,39.97,39.97,39.97,36.65,36.65,35.63,35.63,36.31,37.27,37.55,39.00
Product39,9.77,9.19,9.19,9.19,9.19,9.77,9.77,9.77,9.77,9.77,10.34,10.34,10.34,10.34,10.34,9.10
Product40,123.59,99.99,99.99,99.99,99.99,99.99,99.99,99.99,98.58,98.58,81.99,81.99,77.35,96.18,96.18,98.59
Product41,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99,32.99
Product42,38.21,38.21,38.21,38.21,38.21,38.21,38.21,38.21,31.95,31.03,30.02,30.02,30.02,30.71,30.71,33.22